Isim,Soyisim,Yetenekler,Egitim,Deneyim,Email,Telefon,LinkedIn,Github,DogumTarihi,Adres
Oluş,Sakarya,"Docker, Flask, Docker, Java",Duran Bilir Şti. Üniversitesi - Suflör (2015-2025),Sezgin Şti. - Buldozer operatörü (2019-2025),mehdiye65@hotmail.com,07891237286,https://linkedin.com/in/oluşsakarya,https://github.com/oluşsakarya,1988-02-02,"51587 İhsanoğlu Ports Suite 959, Sezginport, IA 82309"
Öge,Çetin,"SQL, Python, Flask, SQL, Python, Azure",Duran Şti. Üniversitesi - Besicilik (2019-2025),Tüpraş - Pilavcı (2018-2024),tecimer30@akdeniz.com,+90(134)256-3725x5804,https://linkedin.com/in/ögeçetin,https://github.com/ögeçetin,1993-08-09,"92442 Kızıltunç Drive, West Kezban, SC 72822"
Örfiye,Tarhan,"MongoDB, ASP.NET, ASP.NET, Flutter, CSS",Demirel Alemdar Şti. Üniversitesi - Gümrük memuru (2017-2025),Sezer Arslan A.Ş. - Aşçıbaşı (2019-2025),soylutumkurt@gmail.com,154 3 496,https://linkedin.com/in/örfiyetarhan,https://github.com/örfiyetarhan,2005-01-10,"79492 İhsanoğlu Meadow Apt. 347, Sezginfurt, WA 46171"
Nilcan,Durdu,"Azure, Kubernetes, JavaScript, Docker",Limak İnşaat Üniversitesi - Kaportacı (2022-2025),Gül A.Ş. - Stenograf (2021-2024),ysezgin@sok.com,0437-910 3337,https://linkedin.com/in/nilcandurdu,https://github.com/nilcandurdu,1989-12-10,"322 Akçay Divide, Sezerland, OK 29270"
Subutiye,Demirel,"ASP.NET, C#, HTML, C#",Roketsan Üniversitesi - Ustabaşı (2019-2024),Yıldırım Ltd. - Müneccim (2020-2023),sevindik48@demir.com,+90 (556) 6822506,https://linkedin.com/in/subutiyedemirel,https://github.com/subutiyedemirel,1997-11-09,"USS Aslan, FPO AP 57623"
Selaheddin,Bilgin,"SQL, Kubernetes, Java, Flask, Git, Java",Çamurcuoğlu Şti. Üniversitesi - Komisyoncu (2017-2023),Limak İnşaat - Tümamiral (2021-2024),fahrullah44@gmail.com,+90(529)042-0304x5121,https://linkedin.com/in/selaheddinbilgin,https://github.com/selaheddinbilgin,2003-10-25,"6391 Kasim Way Suite 854, Güçlüton, CT 02770"
Doğanşah,Alemdar,"C#, Kubernetes, Git, ASP.NET, Flask, CSS",Zorlu Ertaş A.Ş. Üniversitesi - Gardiyan (2017-2024),İhsanoğlu Durdu Ltd. - Yayıncı (2020-2023),yilmazsaire@yahoo.com,03409111001,https://linkedin.com/in/doğanşahalemdar,https://github.com/doğanşahalemdar,1989-08-01,"84339 Özkutlu Parks, Sulhiside, VA 74519"
Evrim,Erdoğan,"React, MongoDB, Python",Mansız A.Ş. Üniversitesi - Ekonomist (2015-2025),Bilgin A.Ş. - Kaportacı (2021-2023),ccetin@ihsanoglu.com,052 3 212,https://linkedin.com/in/evrimerdoğan,https://github.com/evrimerdoğan,2005-04-05,"757 Yıldız Valleys, East Noman, VA 63487"
Tanses,Durmuş,"MongoDB, Git, Linux, Python, React",Şişecam Üniversitesi - Bombacı (2017-2023),Vestel - Camcı (2020-2023),mansizakif@yahoo.com,051 2 973,https://linkedin.com/in/tansesdurmuş,https://github.com/tansesdurmuş,1985-03-29,"PSC 1583, Box 5517, APO AA 29364"
Elgin,Şensoy,"Python, Azure, JavaScript, Git, HTML",Akça Arslan Şti. Üniversitesi - Özel şoför (2019-2024),Oyak Renault - Koruma görevlisi (2022-2024),tansesfirat@gmail.com,260 8 520,https://linkedin.com/in/elginşensoy,https://github.com/elginşensoy,1996-09-30,"02848 Mükrüme Avenue Apt. 882, West Boynak, KS 02731"
Hasbek,İhsanoğlu,"Flutter, Git, Azure, Django, Flask, Kubernetes",Kısakürek Şti. Üniversitesi - Bilim insanı (2018-2024),Öcalan Gül A.Ş. - Çikolatacı (2022-2023),balca04@turk.info,+90(700)716-3827x426,https://linkedin.com/in/hasbeki̇hsanoğlu,https://github.com/hasbeki̇hsanoğlu,2001-08-26,"75617 Egenur Square, Duranview, DE 39687"
Memili,Gülen,"Django, CSS, CSS",Opet Üniversitesi - Ocakçı (2019-2025),Oyak Renault - Meteoroloji uzmanı (2018-2024),risaletcamurcuoglu@gmail.com,08176602666,https://linkedin.com/in/memiligülen,https://github.com/memiligülen,2001-04-22,"3527 Arsoy Unions, Koruganchester, ID 38345"
Nihai,Şener,"Java, Linux, Kubernetes, Java, Java, Azure",BİM Üniversitesi - Gemici (2020-2024),Petkim - Cost Control (2023-2023),guneri11@yahoo.com,+90 (708) 3453436,https://linkedin.com/in/nihaişener,https://github.com/nihaişener,1994-11-24,"35882 Harbinaz Light, Port Sadat, OH 07539"
Över,Akdeniz,"Kubernetes, React, Next.js, Python, Python, Git",Çamurcuoğlu Ltd. Üniversitesi - Enstrüman imalatçısı (2022-2023),Karadeniz Şama Şti. - Tasarımcı (2018-2024),certas@sisecam.com,283 3 425,https://linkedin.com/in/överakdeniz,https://github.com/överakdeniz,2002-03-19,"232 Bilir Corners, Port Oguş, TN 80647"
Önsal,İhsanoğlu,"Python, Django, Flutter, JavaScript, Django, ASP.NET",Selçuk Ecza Üniversitesi - Savcı (2019-2023),Demir Çetin Ltd. - Saat tamircisi (2022-2025),sabihe80@hotmail.com,+90 (149) 9507909,https://linkedin.com/in/önsali̇hsanoğlu,https://github.com/önsali̇hsanoğlu,2003-05-28,"PSC 5695, Box 2812, APO AP 11498"
Günebakan,Çorlu,"Flask, Git, ASP.NET, Java",Çamurcuoğlu Hançer Ltd. Üniversitesi - Oyun hostesi (2021-2024),Aslan Şti. - Gitarist (2018-2023),esmanperiakdeniz@hotmail.com,0656-574 4903,https://linkedin.com/in/günebakançorlu,https://github.com/günebakançorlu,1987-06-22,"4806 Yepelek Place Apt. 589, West Uluman, VA 91343"
Nura,Şensoy,"C#, Kubernetes, HTML",Bilir A.Ş. Üniversitesi - Manav (2021-2024),Toyota Otomotiv - Proktolog (2018-2025),dertas@gmail.com,+90(573)7142948,https://linkedin.com/in/nuraşensoy,https://github.com/nuraşensoy,1999-10-06,"Unit 9774 Box 7161, DPO AA 20996"
Baki,Şener,"Docker, CSS, Flask, Python",Şensoy Eraslan Şti. Üniversitesi - Cellat (2018-2024),Yıldırım Fırat Ltd. - Test mühendisi (2022-2025),gbilge@gmail.com,0711 799 51 26,https://linkedin.com/in/bakişener,https://github.com/bakişener,1998-05-04,"2135 Akçay Crossing, North Ahsenton, CT 84434"
Yıldır,Tarhan,"Django, MongoDB, MongoDB, Kubernetes, CSS, Linux",LC Waikiki Üniversitesi - Jokey (2018-2023),Limak İnşaat - Papaz (2018-2025),wsakarya@hotmail.com,520 1 960,https://linkedin.com/in/yıldırtarhan,https://github.com/yıldırtarhan,2005-01-18,"9465 Akar Pine Apt. 219, Erensoymouth, MA 72411"
Milay,Hançer,"Java, Docker, Python, Node.js",Dumanlı Şti. Üniversitesi - Taşlayıcı (2016-2025),Zorlu Ltd. - Redaktör (2018-2025),cmansiz@yahoo.com,0884-382 8100,https://linkedin.com/in/milayhançer,https://github.com/milayhançer,1989-04-18,"Unit 2566 Box 6707, DPO AE 20789"
Duruöz,Dumanlı,"Node.js, Flask, Django, Docker, Kubernetes, Azure",Alemdar Şti. Üniversitesi - Lobici (2021-2023),Limak İnşaat - Tarım işçisi (2023-2024),durmussohret@cetin.com,+90(017)212-2591x2048,https://linkedin.com/in/duruözdumanlı,https://github.com/duruözdumanlı,1998-09-15,"238 Ülker Glen, Kısakürekburgh, TX 81396"
Sidki,Şener,"Node.js, ASP.NET, Kubernetes",Şafak Ltd. Üniversitesi - Paralı asker (2018-2024),Mansız Bilgin Şti. - Astronot (2019-2023),silanursoylu@ocalan.info,(089)125 4340,https://linkedin.com/in/sidkişener,https://github.com/sidkişener,2000-05-01,"27736 Değmeer View, New Karaca, AK 27638"
Nebiha,Aslan,"Docker, Linux, HTML, Node.js, Flask",EnerjiSA Üniversitesi - Şarap üreticisi (2018-2025),Yaman Şensoy Ltd. - Piyango satıcısı (2023-2023),nakcay@ulker.org,(870)807 1319,https://linkedin.com/in/nebihaaslan,https://github.com/nebihaaslan,1994-10-02,"1525 Korutürk Hollow Apt. 961, Lake Alaaddinmouth, MN 80149"
Boynak,Akgündüz,"HTML, Linux, Docker, Azure",Duran A.Ş. Üniversitesi - Sahil koruma (2022-2023),BİM - Radyoloji teknisyeni/teknikeri (2018-2024),gulserenyorulmaz@yahoo.com,0473-077 1185,https://linkedin.com/in/boynakakgündüz,https://github.com/boynakakgündüz,2003-04-22,"65367 Akçay Hollow Apt. 812, Karadenizchester, SC 62395"
Emal,Erdoğan,"React, React, ASP.NET",Tofaş Üniversitesi - Şapel papazı (2021-2024),Dumanlı Tarhan A.Ş. - Dokumacı (2020-2023),jsama@hotmail.com,09080962068,https://linkedin.com/in/emalerdoğan,https://github.com/emalerdoğan,2004-04-27,"Unit 5551 Box 9531, DPO AA 96404"
Mefharet,Şener,"Node.js, Next.js, C#",Zengin Şti. Üniversitesi - Gezici vaiz (2021-2024),Demirel A.Ş. - İpçi (2022-2025),salimet56@gmail.com,+90(944)739-9930x764,https://linkedin.com/in/mefharetşener,https://github.com/mefharetşener,2004-04-29,"74888 Eraslan Port, Eraslanhaven, NH 44856"
İde,Akçay,"Node.js, Flutter, Java, Java, MongoDB",Aselsan Üniversitesi - Maketçi (2019-2023),Yüksel Şti. - Cerrah (2020-2025),aytoztevetoglu@gulen.com,+90 (822) 4231549,https://linkedin.com/in/i̇deakçay,https://github.com/i̇deakçay,1991-07-26,"90703 Basım Cliffs Suite 329, Nurmelekburgh, MS 42785"
Sıylıhan,Dumanlı,"Node.js, Flask, Node.js",Masomo Üniversitesi - Şair (2018-2023),Demir A.Ş. - Manastır baş rahibesi (2021-2024),wtevetoglu@yahoo.com,04059770846,https://linkedin.com/in/sıylıhandumanlı,https://github.com/sıylıhandumanlı,1989-04-26,"10307 Cuman Stravenue Apt. 620, Port Güngördüborough, NY 37869"
Güneri,Hayrioğlu,"Node.js, ASP.NET, Java, Java",Bilgin Tarhan A.Ş. Üniversitesi - Filozof (2019-2023),Şafak Seven Ltd. - Tesisatçı (2019-2023),kdurdu@yahoo.com,(886)367 1638,https://linkedin.com/in/günerihayrioğlu,https://github.com/günerihayrioğlu,2001-04-30,"Unit 7062 Box 7442, DPO AA 40242"
Elifnur,Yaman,"Node.js, Azure, Next.js, C#, Kubernetes",Masomo Üniversitesi - Midyeci (2017-2023),Akdeniz Soylu A.Ş. - Hemşire (2019-2025),necmettin42@gmail.com,(135)187 0250,https://linkedin.com/in/elifnuryaman,https://github.com/elifnuryaman,1999-01-22,"7319 Akçay Via, Sayrakfurt, CT 04430"
İntihap,Kısakürek,"ASP.NET, Java, JavaScript, SQL",Bilgin Akça A.Ş. Üniversitesi - Pompacı (2015-2025),Çorlu Ltd. - Sosyolog (2022-2025),nerdogan@akdeniz.org,(564)542 1164,https://linkedin.com/in/i̇ntihapkısakürek,https://github.com/i̇ntihapkısakürek,2003-01-15,"280 Arsoy Keys Apt. 946, Akçaland, AK 68812"
Bayman,Durmuş,"CSS, C#, Node.js, Azure, MongoDB, Django",Akgündüz Ülker A.Ş. Üniversitesi - Ahşap tekne yapımcısı (2016-2024),Akar A.Ş. - Ayakkabı tamircisi (2020-2025),asimanbilir@sama.com,05986338741,https://linkedin.com/in/baymandurmuş,https://github.com/baymandurmuş,1996-05-04,"4400 Yönetmen Tunnel Apt. 977, Yağızkurtton, ND 13912"
Ayyaruk,Gül,"CSS, Kubernetes, Node.js, Node.js, Kubernetes",Alemdar Ltd. Üniversitesi - Öğretim görevlisi (2020-2024),Şişecam - Seyis (2019-2025),hyilmaz@opet.com,172 6 270,https://linkedin.com/in/ayyarukgül,https://github.com/ayyarukgül,1986-03-06,"PSC 0598, Box 5565, APO AA 53773"
Ezgin,Bilir,"HTML, JavaScript, MongoDB, Kubernetes",Hayrioğlu Yılmaz A.Ş. Üniversitesi - Tiyatro yönetmeni (2017-2024),Şafak Ltd. - Sürveyan (2019-2025),koray20@oyak.com,08870788697,https://linkedin.com/in/ezginbilir,https://github.com/ezginbilir,1994-11-26,"1461 Recepali Branch Apt. 479, Gülbeyanside, KY 93819"
Resulcan,Tevetoğlu,"C#, Linux, Docker, CSS",Bilir A.Ş. Üniversitesi - Astsubay (2022-2023),Durdu Hançer A.Ş. - Host (2023-2024),hcetin@gmail.com,+90(327)617-1830x872,https://linkedin.com/in/resulcantevetoğlu,https://github.com/resulcantevetoğlu,1990-11-24,"455 Candeniz Manors, East Nazlihanchester, CA 12367"
Satrettin,Gül,"CSS, Java, C#",Fırat Akgündüz Ltd. Üniversitesi - Proktolog (2017-2024),Arçelik - Oyun hostesi (2018-2023),turkmen07@hotmail.com,(085)556 4090,https://linkedin.com/in/satrettingül,https://github.com/satrettingül,1991-05-01,"572 Sonad Port, Kaderchester, UT 10372"
Meyhanim,Akçay,"Flask, C#, React",Türk Ltd. Üniversitesi - Ön muhasebeci (2022-2023),Türk Hançer Ltd. - Forklift operatörü (2019-2024),zsensoy@hotmail.com,(041)901 5185,https://linkedin.com/in/meyhanimakçay,https://github.com/meyhanimakçay,2002-11-13,"7542 Züfer Neck, Akgündüzshire, OR 85319"
Ülke,Türk,"HTML, CSS, Azure, Linux, Next.js, Next.js",BİM Üniversitesi - Biletçi (2020-2023),Akçay Şti. - İnşaat mühendisi (2019-2025),inonugulhisar@yahoo.com,+90(871)705-5089x9609,https://linkedin.com/in/ülketürk,https://github.com/ülketürk,1990-09-23,"530 Temuçin Underpass, Dumanlıland, HI 92075"
Yertan,Aksu,"CSS, Linux, ASP.NET, Azure, Azure, SQL",Dumanlı Demirel A.Ş. Üniversitesi - Tuzcu (2019-2025),Ford Otosan - Yargıç (2023-2023),firatsiti@hotmail.com,+90(296)6610258,https://linkedin.com/in/yertanaksu,https://github.com/yertanaksu,1984-05-31,"98719 Ufukay Green, Çorluburgh, UT 68148"
İsra,Zengin,"Flask, Linux, Linux, Java",Tevetoğlu Şama Ltd. Üniversitesi - Kadın terzisi (2015-2025),Gül Sezgin Ltd. - İllüzyonist (2019-2023),cguclu@yahoo.com,774 3 853,https://linkedin.com/in/i̇srazengin,https://github.com/i̇srazengin,1996-03-16,"626 Çetin Mount Apt. 448, North Esmanperi, CT 38687"
İlbek,Dumanlı,"JavaScript, Docker, MongoDB, Django, C#, Flask",Zorlu Mansız Şti. Üniversitesi - Lokantacı (2021-2024),Güçlü Aslan Şti. - Subay (2023-2025),tanir83@yahoo.com,(047)924 4327,https://linkedin.com/in/i̇lbekdumanlı,https://github.com/i̇lbekdumanlı,1990-10-09,"USNV Sezer, FPO AP 58283"
Akınal,Zengin,"Next.js, Django, Git, Linux, Flutter",Ergül Demirel A.Ş. Üniversitesi - Hareket memuru (2021-2023),Zorlu Şti. - Jokey (2019-2023),seblasoylu@akar.com,06976131997,https://linkedin.com/in/akınalzengin,https://github.com/akınalzengin,1994-04-12,"02898 Zorlu Landing Apt. 497, West Tekiner, WI 56398"
Azade,Korutürk,"HTML, Docker, HTML, Kubernetes, Docker, HTML",Tüpraş Üniversitesi - Etolojist (2016-2024),Petkim - Genetik mühendisi (2019-2023),ummahansener@bim.com,+90 (189) 4578762,https://linkedin.com/in/azadekorutürk,https://github.com/azadekorutürk,2001-07-16,"7525 Gül Villages Apt. 910, Korutürkton, MD 97156"
Erkinel,Türk,"Python, ASP.NET, Node.js, Java",ŞOK Marketler Üniversitesi - Kesimci (2018-2023),Durdu Seven Şti. - Kahveci (2018-2023),hasgulihsanoglu@vestel.net,183 4 017,https://linkedin.com/in/erkineltürk,https://github.com/erkineltürk,2000-03-06,"826 Şüküfe Lake, Karadenizbury, MO 12278"
Hindal,Çamurcuoğlu,"HTML, Flutter, SQL, Django, ASP.NET",Bilge Akdeniz Şti. Üniversitesi - Hırsız (2021-2023),Yıldırım Durdu Şti. - Kumaşçı (2020-2024),egenursezer@tarhan.com,0029 343 48 34,https://linkedin.com/in/hindalçamurcuoğlu,https://github.com/hindalçamurcuoğlu,1989-03-20,"63675 Akçay Glen Suite 244, Arslanland, UT 71626"
Bellisan,Soylu,"Flutter, Linux, SQL, Git, Azure",Gül Eraslan Şti. Üniversitesi - Park bekçisi (2020-2024),Sezgin Yorulmaz Şti. - Veznedar (2022-2024),hayrunnisa37@selcuk.com,+90 (583) 4105463,https://linkedin.com/in/bellisansoylu,https://github.com/bellisansoylu,2003-03-24,"35432 Kibar Way Suite 310, Aksuton, WY 13747"
Özaslan,Arsoy,"Java, Git, Django, MongoDB",Fırat Ertaş Şti. Üniversitesi - Oyuncakçı (2020-2023),Vestel - Haham (2021-2025),aksogutturk@hotmail.com,578 2 669,https://linkedin.com/in/özaslanarsoy,https://github.com/özaslanarsoy,1994-05-22,"60232 Sevican Divide, İhsanoğlushire, NH 84963"
Behiza,Sezer,"ASP.NET, HTML, React, JavaScript, Flask",Durmuş Şti. Üniversitesi - Komiser (2016-2024),Akar Şti. - Piskopos (2022-2025),atagun77@durmus.com,+90(655)699-4604x0340,https://linkedin.com/in/behizasezer,https://github.com/behizasezer,1987-09-07,"186 Erdoğan Run, Akçayburgh, IL 88405"
Aşir,Akça,"Flask, Kubernetes, Django, Kubernetes, MongoDB",Şafak A.Ş. Üniversitesi - Koleksiyoncu (2015-2025),Akçay Mansız A.Ş. - Astronot (2023-2023),mzorlu@gmail.com,+90(157)846-0583x1574,https://linkedin.com/in/aşirakça,https://github.com/aşirakça,1999-11-11,"USNS Tevetoğlu, FPO AE 67279"
Şevketfeza,Zengin,"Django, Git, JavaScript, Azure, Django, Python",Aselsan Üniversitesi - Saraç (2016-2023),Opet - Köşe yazarı (2018-2023),fugen24@a101.info,+90(502)6017234,https://linkedin.com/in/şevketfezazengin,https://github.com/şevketfezazengin,1984-10-25,"078 Fırat Greens, East Telim, NE 77848"
Üçgül,Çetin,"Next.js, Kubernetes, Docker, Django, CSS, SQL",Sezer Ergül Ltd. Üniversitesi - Cerrah (2016-2024),Eraslan Şti. - Jeomorfolog (2023-2025),alabezek73@gul.biz,(480)906 1503,https://linkedin.com/in/üçgülçetin,https://github.com/üçgülçetin,2002-12-10,"92796 Öcalan Pines, South Nureymouth, HI 34592"
Gülper,Türk,"Next.js, Azure, Django, Node.js",Tevetoğlu Sezgin A.Ş. Üniversitesi - Arabacı (2017-2023),Aselsan - Üretici (2018-2023),mkaradeniz@hotmail.com,382 8 207,https://linkedin.com/in/gülpertürk,https://github.com/gülpertürk,1988-02-04,"USS Tevetoğlu, FPO AE 96773"
Sadittin,Ülker,"JavaScript, SQL, Java, SQL",Durmuş Akçay Şti. Üniversitesi - Komedyen (2018-2024),Yılmaz Aksu Şti. - Koleksiyoncu (2018-2024),zulfuye17@roketsan.com,+90(202)233-6962x9975,https://linkedin.com/in/sadittinülker,https://github.com/sadittinülker,1987-12-25,"39745 Çokan Vista Apt. 581, Zenginhaven, MN 11158"
Ferhan,Şafak,"Django, React, Azure, Linux, Flutter",Çorlu Şti. Üniversitesi - Resepsiyon memuru (2022-2025),LC Waikiki - Hastabakıcı (2021-2025),aakgunduz@erdogan.com,258 7 494,https://linkedin.com/in/ferhanşafak,https://github.com/ferhanşafak,1984-06-13,"Unit 5063 Box 9551, DPO AE 07040"
Habibe,Duran,"Azure, Node.js, HTML, Git, Git, JavaScript",Zengin A.Ş. Üniversitesi - Karikatürist (2015-2025),Roketsan - Sahil koruma (2019-2025),tarhansadiman@gmail.com,+90 (529) 2937064,https://linkedin.com/in/habibeduran,https://github.com/habibeduran,1988-02-09,"Unit 4849 Box 3141, DPO AE 95807"
Neslinur,Fırat,"Java, Linux, Next.js, Git, Linux",İhsanoğlu Akçay Şti. Üniversitesi - Redaktör (2018-2024),Tüpraş - Veteriner sağlık teknisyeni (2022-2023),nafile09@eraslan.com,(544)108 9965,https://linkedin.com/in/neslinurfırat,https://github.com/neslinurfırat,2002-10-10,"68504 Durgadin Course Suite 740, Şamamouth, DE 69555"
Koçkan,Ülker,"Next.js, CSS, Django, JavaScript",Durmuş A.Ş. Üniversitesi - Genetik mühendisi (2017-2024),Roketsan - Manifaturacı (2022-2023),sabihe04@yahoo.com,+90(495)3841866,https://linkedin.com/in/koçkanülker,https://github.com/koçkanülker,1998-07-09,"358 Hançer Road, Zenginberg, NC 90966"
Barışcan,Akgündüz,"Next.js, Azure, Linux",BİM Üniversitesi - Öğretim görevlisi (2019-2024),A101 Yeni Mağzacılık - Şarküter (2021-2024),teksoy64@durdu.com,075 3 900,https://linkedin.com/in/barışcanakgündüz,https://github.com/barışcanakgündüz,1993-08-12,"174 Bilir Rest, Törelville, FL 35459"
Nebiha,Bilgin,"Flask, Flask, HTML, Azure, Flutter",Akça Durdu A.Ş. Üniversitesi - Paketleyici (2017-2024),Alemdar Çorlu Ltd. - Sansürcü (2018-2025),gulenguvercin@gmail.com,0879-866 1477,https://linkedin.com/in/nebihabilgin,https://github.com/nebihabilgin,1986-04-08,"021 Akçay Common Apt. 644, İnönüfort, IL 30984"
Fildan,Arslan,"Linux, ASP.NET, SQL",Zengin A.Ş. Üniversitesi - Çantacı (2021-2023),Çamurcuoğlu Yılmaz Ltd. - Kahveci (2021-2025),suvari33@safak.info,+90 (163) 2924853,https://linkedin.com/in/fildanarslan,https://github.com/fildanarslan,1987-01-19,"76749 Duran Wall Suite 451, Akçaybury, MI 81768"
Yücel,Soylu,"Next.js, Flask, Python",Korutürk Ltd. Üniversitesi - Pansumancı (2022-2023),Petkim - Çiftlik işletici (2021-2024),pbilir@yilmaz.com,+90(037)1744763,https://linkedin.com/in/yücelsoylu,https://github.com/yücelsoylu,2005-03-08,"063 Gülen Row, Port Olca, ND 43012"
Amre,Ülker,"Node.js, C#, Node.js, Linux, Flask, React",Şensoy A.Ş. Üniversitesi - Manifaturacı (2022-2023),Çamurcuoğlu A.Ş. - Geyşa (2023-2023),akcayerik@hotmail.com,0871 010 41 79,https://linkedin.com/in/amreülker,https://github.com/amreülker,1988-03-22,"635 Demir Divide, Afifeside, WA 73461"
Heyvetullah,Şensoy,"Docker, C#, Linux",Toyota Otomotiv Üniversitesi - Ustabaşı (2021-2023),Çetin Şti. - Tatlıcı (2020-2025),mancomuvaffak@gmail.com,+90(324)6183943,https://linkedin.com/in/heyvetullahşensoy,https://github.com/heyvetullahşensoy,2003-11-28,"44377 Eraslan Wall Apt. 479, Yamanfurt, MS 05084"
Gülev,Zorlu,"ASP.NET, Docker, Linux, Next.js, JavaScript",Gülen Korutürk A.Ş. Üniversitesi - Aktar (2018-2024),Akçay Ltd. - Hastabakıcı (2018-2023),khancer@gmail.com,376 8 115,https://linkedin.com/in/gülevzorlu,https://github.com/gülevzorlu,2000-10-03,"716 Abdülahat Locks Suite 581, Arsoyside, IL 87302"
Nayil,Durmuş,"Python, Flutter, Flask",Yorulmaz Aslan Ltd. Üniversitesi - Sicil memuru (2016-2024),Bilge Ltd. - İktisatçı (2020-2023),kkaradeniz@yahoo.com,05786133357,https://linkedin.com/in/nayildurmuş,https://github.com/nayildurmuş,1992-05-11,"73815 Akça Knoll, South Erksoyhaven, AL 61102"
Evrimer,Şafak,"Azure, React, Docker, Flutter, SQL, Flutter",Fırat Türk Şti. Üniversitesi - Tornacı (2022-2023),Bilir Sezgin A.Ş. - Jeolog (2018-2025),yurdanur09@kisakurek.org,+90 (156) 9070107,https://linkedin.com/in/evrimerşafak,https://github.com/evrimerşafak,2000-02-28,"Unit 2367 Box 5624, DPO AE 71679"
Ufukay,Şafak,"ASP.NET, Docker, Flutter, Linux",Tüpraş Üniversitesi - Astrolog (2015-2024),Arçelik - Guru (2021-2023),alparslan95@hotmail.com,(766)094 1833,https://linkedin.com/in/ufukayşafak,https://github.com/ufukayşafak,1992-01-04,"4877 Aycagül Terrace, Tarhanborough, IA 94856"
Akdurmuş,Gülen,"CSS, Git, HTML, JavaScript",Erdoğan Yüksel A.Ş. Üniversitesi - Yorumcu (2017-2024),Duran Manço Ltd. - Müşavir (2023-2024),corlusuha@turk.com,+90 (336) 2187822,https://linkedin.com/in/akdurmuşgülen,https://github.com/akdurmuşgülen,1986-02-18,"471 İldeş Trail Suite 406, North Celilayhaven, MI 87444"
Biltaş,Manço,"JavaScript, Django, Python, Next.js",Yaman Şti. Üniversitesi - Profesör (2020-2024),Çamurcuoğlu Arslan A.Ş. - Sigortacı (2020-2025),nakipdurdu@gmail.com,+90(279)020-7777x169,https://linkedin.com/in/biltaşmanço,https://github.com/biltaşmanço,1998-03-21,"USS Seven, FPO AA 88525"
Çelikkan,Gülen,"Next.js, Docker, HTML, Next.js",Demir Şti. Üniversitesi - Kaynakçı (2018-2023),Demirel Eraslan Şti. - Piyango satıcısı (2020-2023),apaydin37@sisecam.com,+90(052)938-9997x052,https://linkedin.com/in/çelikkangülen,https://github.com/çelikkangülen,1999-12-09,"781 Çorlu Isle, Sezerchester, VA 87965"
Yigit,Yorulmaz,"Node.js, React, Django",Çetin Ltd. Üniversitesi - Paramedik (2020-2025),Petkim - Borucu (2021-2025),vezatsoylu@gmail.com,+90(045)086-9883x7664,https://linkedin.com/in/yigityorulmaz,https://github.com/yigityorulmaz,1994-07-17,"PSC 1055, Box 5984, APO AE 71891"
Evde,Güçlü,"Kubernetes, Java, Linux, Flutter, React, Azure",Karadeniz Ltd. Üniversitesi - Albay (2018-2025),Bilge İhsanoğlu A.Ş. - Araba satıcısı (2020-2024),aliseydiaslan@gmail.com,+90 (658) 4110342,https://linkedin.com/in/evdegüçlü,https://github.com/evdegüçlü,1993-05-14,"PSC 6089, Box 1159, APO AP 77368"
Algış,Yaman,"Node.js, Node.js, Flutter, React, Linux, Flask",Arsoy A.Ş. Üniversitesi - Cerrah (2020-2025),Türk Hava Yolları - Eğitimci (2023-2025),dinckol62@gmail.com,+90(022)2640304,https://linkedin.com/in/algışyaman,https://github.com/algışyaman,1999-11-22,"Unit 5860 Box 1397, DPO AP 70933"
Uygun,Arsoy,"MongoDB, Next.js, HTML",Peak Games Üniversitesi - Manifaturacı (2019-2025),Duran Şti. - Şapel papazı (2023-2023),mevludiyekisakurek@yahoo.com,+90(012)5297739,https://linkedin.com/in/uygunarsoy,https://github.com/uygunarsoy,1997-06-10,"5846 Şavki Spring Suite 683, Hilaydaborough, IL 86593"
Evrim,Bilir,"Node.js, Azure, Kubernetes, Flutter, Git",Demir Soylu A.Ş. Üniversitesi - Nakliyeci (2017-2023),A101 Yeni Mağzacılık - Müzisyen (2021-2025),mezidebilge@oyak.com,421 9 677,https://linkedin.com/in/evrimbilir,https://github.com/evrimbilir,1987-11-11,"48956 Şener Trafficway, North Gabel, ME 78981"
Semine,Yılmaz,"Docker, Java, Kubernetes, C#, CSS, Flutter",Sezer Çamurcuoğlu Şti. Üniversitesi - Akortçu (2021-2023),Yıldırım Şti. - Sekreter (2019-2023),melahakoruturk@gmail.com,+90(048)8213468,https://linkedin.com/in/semineyılmaz,https://github.com/semineyılmaz,2001-01-09,"13855 Çamurcuoğlu Port Suite 182, Necdatfort, MS 66759"
Alcan,Yıldırım,"HTML, CSS, ASP.NET",Bilgin Şener Ltd. Üniversitesi - Metin yazarı (2017-2025),Gül Şama Şti. - Teğmen (2018-2023),ecetin@gmail.com,04486421667,https://linkedin.com/in/alcanyıldırım,https://github.com/alcanyıldırım,1989-08-01,"95308 Şensoy Village Suite 416, New Tutkunborough, UT 09416"
Çağlar,Aksu,"Next.js, HTML, Docker",ŞOK Marketler Üniversitesi - Tuhafiyeci (2018-2025),Tevetoğlu Arsoy Ltd. - Karpuzcu (2023-2024),bidayetsama@sezgin.com,174 0 527,https://linkedin.com/in/çağlaraksu,https://github.com/çağlaraksu,2002-06-13,"908 Hayrioğlu Junctions, Lake Gülsalın, CO 82391"
